,heapsort_notinplace,heapsort_inplace,mergesort_notinplace,mergesort_inplace,quicksort_notinplace,quicksort_inplace,python_sort
50,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
51,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
52,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
53,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
54,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
55,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
56,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
57,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
58,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
59,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
60,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
61,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
62,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
63,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
64,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
65,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
66,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
67,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
68,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
69,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
70,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
71,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
72,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
73,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
74,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
75,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
76,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
